L,L error,D,D error,H,H error,k,k error,real data
0.228599877,0.003,0.0381,0.003,0,0.003,0,0,-0.65765158
0,0.003,0.0381,0.003,0,0.003,0.35,0.1,0.02897737
0.228599877,0.003,0.0508,0.003,0,0.003,0,0,-0.08764706
0.457199753,0.003,0.0508,0.003,0,0.003,39,7,20.38374946
0.228599877,0.003,0.0508,0.003,0,0.003,0,0,0.491681901
0.060959967,0.003,0.0508,0.003,0.0254,0.003,0.3,0,-0.16293362
0.304799835,0.003,0.0508,0.003,0.304799835,0.003,0,0.1,0.154221434
0.304799835,0.003,0.0508,0.003,0.304799835,0.003,0,0,0.716778566
0.060959967,0.003,0.0508,0.003,0.0254,0.003,0.3,0.4,-0.223529633
0.380999794,0.003,0.0508,0.003,0,0.003,0,0,-0.162894485
